招聘岗位,企业名称,工作城市,工作区域,最低月薪_元,最高月薪_元,中位月薪_元,经验段,经验年限下限,经验年限上限,学历层级,AI标签列表,主要AI方向,岗位摘要,核心技能列表,招聘发布日期,发布月份
外贸总监,山东金帝精密机械科技股份有限公司,聊城,nan,20000,40000,30000.0,5-10年,5,7,大专,数据挖掘,人工智能,负责海外市场开拓及销售团队管理,市场开拓、销售策略、客户资源管理、团队管理、销售计划执行,2024-05-24 ,2024-05
普工/叉车工,合肥大鲸鱼信息科技有限公司,合肥,蜀山区,,,,无经验要求,,,不限,机器人自动化,机器人自动化,辅助机器人焊接及自动化压力机操作,机器人焊接、自动化压力机、辅助操作、识字,2024-09-02 ,2024-09
社媒运营,广西锐可户外工具制造有限公司,广州,黄埔区,6000,10000,8000.0,1-3年,1,,本科,大数据分析,大数据分析,负责社媒运营及数据分析，提升用户增长与互动,大数据分析、用户分析、社群运营、文案撰写、数据分析、沟通协调,2024-11-08 ,2024-11
西安 数据建模工程师,成都医路康医学技术服务有限公司,西安,莲湖区,,,,无经验要求,,,不限,,人工智能,,,2024-11-24 ,2024-11
综合行政/质监专员,广东德诚科教有限公司,肇庆,端州区,4000,6000,5000.0,1-3年,1,,本科,云计算,云计算,负责项目费用及行政内勤事务,项目费用管理、行政事务处理、财务报销、沟通协调、逻辑分析,2024-07-12 ,2024-07
系统架构师,前锦网络信息技术（上海）有限公司,广州,黄埔区,25000,33333,29166.5,3-5年,3,,本科,云计算、大数据处理,大数据处理,负责系统架构设计与优化，参与中间件开发,分布式系统、微服务架构、容器化技术、DevOps、Hadoop、Spark、云计算、云原生,2024-10-17 ,2024-10
市场分析专员,国投融合科技股份有限公司,北京,东城区,7000,10000,8500.0,无经验要求,,,硕士,大数据分析、数据挖掘,数据挖掘,负责市场数据分析及战略规划,数据挖掘、大数据分析、竞品分析、市场信息分析、战略规划,2024-10-23 ,2024-10
COE薪酬绩效专家,徐州星享网络科技有限公司,徐州,鼓楼区,50000,55000,52500.0,5-10年,5,10,本科,数据挖掘,数据挖掘,负责薪酬绩效体系设计与优化，数据分析及劳动纪律管理,薪酬绩效体系设计、数据分析、数据挖掘、人力资源管理、劳动纪律检查、培训实施,2024-07-12 ,2024-07
系统集成工程师,广西虹麒科技有限责任公司,桂林,象山区,5000,10000,7500.0,5-10年,5,10,本科,云计算,云计算,负责系统集成项目实施与技术调试工作,系统集成、CAD设计、弱电集成、云计算、项目管理、技术调试、施工监督、方案撰写,2024-04-16 ,2024-04
电子工程师,上海磐诺仪器有限公司,合肥,蜀山区,20000,30000,25000.0,3-5年,3,5,本科,图像识别,图像识别,负责电子学设计、测试及物料选型，确保产品质量,模拟电路设计、光电传感器应用、嵌入式架构、FPGA设计、图像识别算法,2024-03-26 ,2024-03
硬件工程师,安徽知远企业管理咨询合伙企业（有限合伙）,合肥,经开区,20000,30000,25000.0,5-10年,5,,本科,自动驾驶,无人驾驶,负责车载硬件设计及自动驾驶域控制器开发,车机硬件平台、硬件开发工具、原理图设计、PCB设计、EMC设计、功能安全、IATF16949、英语阅读写作,2024-10-29 ,2024-10
产品策划,杭州边锋网络技术有限公司,杭州,西湖区,18000,35000,26500.0,5-10年,5,10,本科,数据挖掘,数据挖掘,负责棋牌产品设计优化与数据分析,数据分析、产品设计、竞品分析、数据挖掘、用户体验优化,2024-03-29 ,2024-03
Hadoop,成都欣腾电子有限公司,重庆,nan,,,,无经验要求,,,不限,,人工智能,,,2024-11-11 ,2024-11
办公室数据文员,广东摩查科技有限公司,东莞,寮步镇,4000,4500,4250.0,1-3年,1,3,中专及以下,数据挖掘,数据挖掘,负责数据收集分析及模型优化,数据分析、数据处理、数据挖掘、团队协作,2024-11-21 ,2024-11
渠道销售代表,深圳市华序咨询有限公司,深圳,nan,5000,10000,7500.0,无经验要求,,,大专,大数据平台,大数据平台,负责渠道销售及助贷服务推广,征信大数据、贷款从业资源、助贷服务、大数据平台,2024-10-14 ,2024-10
新媒体运营专员,北京大觥科技有限公司,北京,朝阳区,10000,15000,12500.0,1-3年,1,3,本科,数据挖掘,数据挖掘,负责数据分析及用户需求挖掘，优化产品运营,数据分析、推广策略优化、竞品分析、用户需求挖掘、产品优化,2024-01-11 ,2024-01
外贸销售,乐枫科技（苏州）有限公司,苏州,吴中区,7000,14000,10500.0,1-3年,2,,大专,大数据分析,大数据分析,负责海外销售及市场数据分析,市场调研、数据分析、竞品分析、销售策略、客户维护、财务预算、市场策略,2024-09-05 ,2024-09
文案策划,杭州友话好说教育科技有限公司,杭州,拱墅区,7000,14000,10500.0,1-3年,1,3,大专,数据挖掘,数据挖掘,负责短视频策划、数据分析及文案撰写工作,短视频策划、数据分析、文案撰写、平台运营、竞品分析、用户行为分析,2024-02-23 ,2024-02
物联网研发工程师,南京天加环境科技有限公司,南京,栖霞区,15000,25000,20000.0,1-3年,2,,本科,智能家居,智能家居,物联网系统设计及智能家居平台开发,"物联网架构设计、网络协议（HTTP, MQTT）、通信协议（Zigbee, Bluetooth）、MySQL数据库、传感器技术、云平台开发、数据分析",2024-08-13 ,2024-08
Wayfair运营专员,广州青洲气模有限公司,广州,花都区,8000,13000,10500.0,1-3年,1,3,大专,ai产品,人工智能,负责Wayfair平台运营及数据分析优化,Wayfair运营、数据分析、广告优化、产品上传、市场分析、英语读写、Office软件、ACOS控制,2024-07-02 ,2024-07
财务BP,广东博迈医疗科技股份有限公司,东莞,松山湖区,15000,25000,20000.0,3-5年,3,,本科,数据挖掘,数据挖掘,负责财务分析、数据挖掘及成本管理,数据分析、数据挖掘、成本管理、风控合规、经营分析、销售数据分析,2024-11-29 ,2024-11
销售经理,北京鸿盈信息技术有限公司,北京,朝阳区,15000,25000,20000.0,5-10年,5,10,大专,人工智能,人工智能,负责特种行业销售及解决方案制定,IT网络安全、业务需求分析、客户关系管理、项目管理、商务谈判,2024-03-27 ,2024-03
大数据开发工程师,大连振翮因私出入境服务有限公司,北京,大兴区,25000,50000,37500.0,5-10年,5,10,本科,机器学习、大数据分析、数据挖掘、大数据平台,大数据分析,负责大数据平台开发与实时数据处理,Flink、Hadoop、Spark、数据挖掘、机器学习、Java、Python、数据立方体,2024-03-27 ,2024-03
矿山车辆现场调度,博雷顿科技股份公司,上海,闵行区,8000,16000,12000.0,1-3年,1,2,大专,无人驾驶,无人驾驶,负责矿山车辆调度及团队管理，优化运输效率,运输调度、数据分析、团队管理、应急响应、沟通协调、项目管理,2024-11-28 ,2024-11
出纳,四川锦鸿添耀建筑工程有限公司,苏州,苏州工业园区,7000,9000,8000.0,1-3年,1,,本科,数据挖掘,数据挖掘,负责公司日常资金管理与财务结算,财务软件操作、数据分析、Excel、QuickBooks、银行日记账管理、财务报表编制、费用报销处理、固定资产登记,2024-09-07 ,2024-09
软件开发经理,浙江兆奕科技有限公司,杭州,钱塘区,15000,25000,20000.0,5-10年,5,,本科,智能家居,人工智能,负责后端开发团队管理及TOB平台架构设计,Java平台开发、架构设计、Spring Boot、中间件、物联网平台、代码规范、运维体系,2024-09-19 ,2024-09
高级数据分析师—直播方向,抖音视界（北京）有限公司,北京,海淀区,15000,30000,22500.0,无经验要求,,,本科,数据挖掘,数据挖掘,直播业务数据分析及优化方案制定,SQL、R、Python、Tableau、数据挖掘,2024-03-29 ,2024-03
客户策略运营-日化母婴行业,抖音视界（北京）有限公司,广州,海珠区,15000,25000,20000.0,3-5年,3,5,本科,数据挖掘,数据挖掘,负责客户策略规划与数据分析，提升行业广告收入,数据分析、数据挖掘、策略思维、项目统筹、Excel、PPT、客户提案、跨部门协作,2024-03-27 ,2024-03
AI应用后端工程师,广州衣神科技有限公司,广州,天河区,12000,22000,17000.0,无经验要求,,,不限,机器学习、人工智能、AI产品、深度学习,人工智能,基于大语言模型开发AIGC产品,Python、MySQL、PostgreSQL、FastAPI、Linux、Docker、git、提示词工程,2024-03-07 ,2024-03
IOT架构师,广东驰扬香氛科技有限公司,佛山,顺德区,10000,18000,14000.0,3-5年,3,,本科,大数据处理,大数据处理,负责物联网系统架构设计与技术管理,物联网协议、物联网平台、嵌入式系统开发、数据库设计、大数据处理、信息安全,2024-07-23 ,2024-07
到家服务条线高级经理,正荣物业服务有限公司苏州分公司,上海,闵行区,15000,25000,20000.0,5-10年,5,,大专,数据挖掘,数据挖掘,负责美居业务运营及数据挖掘精准营销,数据挖掘、用户行为分析、精准营销、运营管理、战略规划,2024-11-27 ,2024-11
数据产品经理,北京车之家信息技术有限公司,北京,海淀区,15000,25000,20000.0,无经验要求,,,本科,数据挖掘,数据挖掘,负责数据中台及用户标签体系设计与开发,数据平台设计、SQL、Tableau、跨公司数据融合、数据商业化应用、沟通协调能力,2024-03-28 ,2024-03
STEAM创客课程主管,珠海汇盈科技有限公司,珠海,nan,8000,12000,10000.0,5-10年,5,,本科,人工智能,人工智能,负责STEAM课程策划及人工智能教育产品开发,教育数字化、人工智能技术应用、课程项目统筹、跨部门协作、资源整合、科普教育产品开发,2024-11-01 ,2024-11
AI算法工程师,深圳吉兰丁智能科技有限公司,深圳,,15000,25000,20000.0,3-5年,3,,硕士,机器学习、深度学习,机器学习,AI算法开发与模型训练，数据处理及业务验证,Python、C++、SQL、PyTorch、Tensorflow、机器学习、深度学习,2024-08-27 ,2024-08
智能家居设计师,武汉黑科智能科技有限公司,武汉,nan,6000,12000,9000.0,无经验要求,,,大专,智能家居,智能家居,负责智能家居线上销售及方案设计与客户跟踪,智能家居销售、客户沟通、方案设计、客户关系管理、销售技巧,2024-11-02 ,2024-11
数据应用开发工程师,平安健康保险股份有限公司,上海,徐汇区,25000,35000,30000.0,3-5年,3,5,本科,AI产品,人工智能,负责数据应用及AI产品开发与系统优化,Java开发、微服务架构、高并发处理、数据可视化、算法工程化、系统架构优化、保险领域系统开发,2024-03-28 ,2024-03
技术管理员,华润燃气投资（中国）有限公司,大同,nan,3000,5000,4000.0,实习/应届,,,本科,大数据分析,大数据分析,负责大数据分析及系统维护工作,大数据分析、数据统计、数据处理、系统维护、办公软件、数据分析软件,2024-09-15 ,2024-09
算法工程师（计算机视觉）,三星（中国）半导体有限公司,西安,雁塔区,15000,30000,22500.0,无经验要求,,,硕士,人工智能、计算机视觉,计算机视觉,计算机视觉算法研发与前沿探索,C/C++、Python、PyTorch、数据结构与算法、模型开发与优化、计算机视觉算法,2024-03-12 ,2024-03
数据分析师,诺得网络科技股份有限公司,镇江,丹阳市,12000,18000,15000.0,3-5年,3,5,本科,数据挖掘,数据挖掘,负责数据挖掘分析及系统建设方案规划,数据挖掘、数据分析、MYSQL、系统建设、流程优化,2024-01-30 ,2024-01
销售工程师,四川福莫斯工业技术有限公司,德阳,nan,7000,12000,9500.0,3-5年,3,,大专,机器人自动化,机器人自动化,负责市场开拓、销售计划及技术支持,市场开拓、销售计划制定、技术交流、方案制作、客户沟通、团队协作,2024-07-27 ,2024-07
招生老师,四川西南航空职业学院,西昌,nan,12500,25000,18750.0,1-3年,1,,大专,无人驾驶,无人驾驶,负责招生宣传及学生信息收集与跟踪报到工作,沟通能力、客户服务、团队合作、市场开拓、招生经验、职业规划咨询、销售技巧,2024-09-02 ,2024-09
科研管理岗位,中煤科工机器人科技有限公司,沈阳,浑南区,8000,16000,12000.0,3-5年,3,5,本科,人工智能,人工智能,负责科研项目管理及制度建设,科研项目管理、绩效考核制定、制度流程建立、知识产权管理、团队协作、办公软件使用,2024-05-04 ,2024-05
腾讯音乐人高级内容拓展,腾讯音乐娱乐（深圳）有限公司,北京,东城区,25000,50000,37500.0,5-10年,5,10,不限,数据挖掘,数据挖掘,负责音乐版权拓展及数据挖掘企划,数据挖掘、音乐版权管理、企划统筹、推广策划、音乐制作,2024-04-15 ,2024-04
机器人调试工程师,安徽控能信息科技有限公司,武汉,nan,7000,13000,10000.0,无经验要求,,,本科,机器人自动化,机器人自动化,机器人系统调试维护及项目研发,机器人调试、硬件测试、故障排查、技术支持、项目研发,2024-10-20 ,2024-10
技术支持工程师,深圳市森威尔科技开发股份有限公司,nan,nan,8000,12000,10000.0,1-3年,2,,大专,智能家居,人工智能,提供技术支持，协助销售，处理客户问题,智能家居技术、物联网技术、技术文档编写、客户沟通、团队协作、时间管理,2024-10-09 ,2024-10
数据与应用专员,雷度米特医疗设备（上海）有限公司,上海,长宁区,19000,26000,22500.0,3-5年,3,5,本科,商业智能,商业智能,负责数据管道设计与维护，ETL开发及商业智能应用,数据管道设计、ETL开发、Power BI、MSSQL、SQL、ERP实施、变更管理、文档编写,2024-04-01 ,2024-04
